GCF_001505535.1	GCA_000283675.1	Bacillus cereus
GCF_000896595.1	GCA_000743815.1	Bacillus cereus
GCF_000896595.1	GCA_002220285.1	Bacillus cereus
GCF_000896595.1	GCA_000832845.1	Bacillus cereus
GCF_000896595.1	GCA_006094295.1	Bacillus cereus
GCF_000896595.1	GCA_000283675.1	Bacillus cereus
GCF_003047795.1	GCA_000743815.1	Bacillus cereus
GCF_003047795.1	GCA_002220285.1	Bacillus cereus
GCF_003047795.1	GCA_000832845.1	Bacillus cereus
GCF_003047795.1	GCA_006094295.1	Bacillus cereus
GCF_003047795.1	GCA_000283675.1	Bacillus cereus
GCF_004135225.1	GCA_000743815.1	Bacillus cereus
GCF_004135225.1	GCA_002220285.1	Bacillus cereus
GCF_004135225.1	GCA_000832845.1	Bacillus cereus
GCF_004135225.1	GCA_006094295.1	Bacillus cereus
GCF_004135225.1	GCA_000283675.1	Bacillus cereus
GCF_000918315.1	GCA_000743815.1	Bacillus cereus
GCF_000918315.1	GCA_002220285.1	Bacillus cereus
GCF_000918315.1	GCA_000832845.1	Bacillus cereus
GCF_000918315.1	GCA_006094295.1	Bacillus cereus
GCF_000918315.1	GCA_000283675.1	Bacillus cereus
GCF_002611685.1	GCA_000743815.1	Bacillus cereus
GCF_002611685.1	GCA_002220285.1	Bacillus cereus
GCF_002611685.1	GCA_000832845.1	Bacillus cereus
GCF_002611685.1	GCA_006094295.1	Bacillus cereus
GCF_002611685.1	GCA_000283675.1	Bacillus cereus
GCF_000900775.1	GCA_000743815.1	Bacillus cereus
GCF_000900775.1	GCA_002220285.1	Bacillus cereus
GCF_000900775.1	GCA_000832845.1	Bacillus cereus
GCF_000900775.1	GCA_006094295.1	Bacillus cereus
GCF_000900775.1	GCA_000283675.1	Bacillus cereus
GCF_002602025.1	GCA_000743815.1	Bacillus cereus
GCF_002602025.1	GCA_002220285.1	Bacillus cereus
GCF_002602025.1	GCA_000832845.1	Bacillus cereus
GCF_002602025.1	GCA_006094295.1	Bacillus cereus
GCF_002602025.1	GCA_000283675.1	Bacillus cereus
GCF_004135245.1	GCA_000743815.1	Bacillus cereus
GCF_004135245.1	GCA_002220285.1	Bacillus cereus
GCF_004135245.1	GCA_000832845.1	Bacillus cereus
GCF_004135245.1	GCA_006094295.1	Bacillus cereus
GCF_004135245.1	GCA_000283675.1	Bacillus cereus
GCF_000926735.1	GCA_000743815.1	Bacillus cereus
GCF_000926735.1	GCA_002220285.1	Bacillus cereus
GCF_000926735.1	GCA_000832845.1	Bacillus cereus
GCF_000926735.1	GCA_006094295.1	Bacillus cereus
GCF_000926735.1	GCA_000283675.1	Bacillus cereus
GCF_002623545.1	GCA_000743815.1	Bacillus cereus
GCF_002623545.1	GCA_002220285.1	Bacillus cereus
GCF_002623545.1	GCA_000832845.1	Bacillus cereus
GCF_002623545.1	GCA_006094295.1	Bacillus cereus
GCF_002623545.1	GCA_000283675.1	Bacillus cereus
GCF_000915475.1	GCA_000743815.1	Bacillus cereus
GCF_000915475.1	GCA_002220285.1	Bacillus cereus
GCF_000915475.1	GCA_000832845.1	Bacillus cereus
GCF_000915475.1	GCA_006094295.1	Bacillus cereus
GCF_000915475.1	GCA_000283675.1	Bacillus cereus
GCF_002603105.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_002603105.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000839665.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000839665.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000955015.2	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000955015.2	GCA_030994205.1	Vibrio parahaemolyticus
GCF_003443075.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_003443075.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_001308515.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_001308515.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000881295.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000881295.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000843785.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000843785.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_003441375.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_003441375.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000868005.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000868005.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000844445.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000844445.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000910375.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000910375.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000902135.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000902135.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_002618825.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_002618825.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000900795.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000900795.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000915795.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000915795.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000906955.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000906955.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_004340605.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_004340605.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000837165.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000837165.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000843265.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000843265.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000902755.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000902755.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000906095.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000906095.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_000904475.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_000904475.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_003441355.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_003441355.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_002957545.1	GCA_000196095.1	Vibrio parahaemolyticus
GCF_002957545.1	GCA_030994205.1	Vibrio parahaemolyticus
GCF_003423285.1	GCA_016027095.1	Sphingomonas paucimobilis
GCF_000902455.1	GCA_016027095.1	Sphingomonas paucimobilis
GCF_000898315.1	GCA_000012325.1	Colwellia psychrerythraea
